node,value,rank,metric
ABBV,213.0,1,in_degree
ABEO,205.0,2,in_degree
ABT,197.0,3,in_degree
ACAD,185.0,4,in_degree
CRL,51.0,5,in_degree
CRL,4.0,1,out_degree
GILD,4.0,2,out_degree
SGRY,4.0,3,out_degree
ABT,4.0,4,out_degree
COR,4.0,5,out_degree
ABBV,216.0,1,total_degree
ABEO,208.0,2,total_degree
ABT,201.0,3,total_degree
ACAD,188.0,4,total_degree
CRL,55.0,5,total_degree
ABT,72.05485521462089,1,in_degree_w
ABBV,70.73064601927562,2,in_degree_w
ABEO,60.93610486234088,3,in_degree_w
ACAD,55.109502913857405,4,in_degree_w
CRL,37.9583871235841,5,in_degree_w
GILD,3.948200861432988,1,out_degree_w
CRL,3.8151231279006446,2,out_degree_w
SGRY,3.729091894992442,3,out_degree_w
COR,3.5817662691864607,4,out_degree_w
KIDS,3.4623992905783196,5,out_degree_w
ABT,74.80999859569803,1,total_degree_w
ABBV,72.12567264402989,2,total_degree_w
ABEO,61.780331635090825,3,total_degree_w
ACAD,56.12093736975933,4,total_degree_w
CRL,41.77351025148475,5,total_degree_w
CRL,0.09214788114889728,1,pagerank
GILD,0.07735011400805784,2,pagerank
SGRY,0.06576438643038424,3,pagerank
ABT,0.053157589643965865,4,pagerank
COR,0.046292385985465964,5,pagerank
SLNO,0.006613385074318089,1,hub
HCSG,0.0065386602583502864,2,hub
XERS,0.006528256392960378,3,hub
VYGR,0.006448189392774744,4,hub
XNCR,0.0064449125570477835,5,hub
ABT,0.2465231958540695,1,authority
ABBV,0.22984838082957557,2,authority
ABEO,0.20351124381798344,3,authority
ACAD,0.18849884217954876,4,authority
GILD,0.013279011639178374,5,authority
ABT,0.0884285040113261,1,betweenness
CYH,0.0566682397357244,2,betweenness
CRL,0.055299669655497874,3,betweenness
TCMD,0.05456347333647947,4,betweenness
TVTX,0.054346389806512505,5,betweenness
CRL,0.28148796982550406,1,closeness
SGRY,0.27026188673872364,2,closeness
ABBV,0.23773899816278077,3,closeness
GILD,0.23760398369498423,4,closeness
REGN,0.2277197023538916,5,closeness
GILD,0.5565574074055837,1,eigenvector
COR,0.40645380973785905,2,eigenvector
THC,0.3543760740811117,3,eigenvector
HCA,0.297156402795569,4,eigenvector
CRL,0.29109776298680967,5,eigenvector
