symbol,name,lastsale,netchange,pctchange,marketCap,url
LLY,Eli Lilly and Company Common Stock,"$1,010.31",-4.18,-0.412%,"955,130,663,535",/market-activity/stocks/lly
JNJ,Johnson & Johnson Common Stock,$201.93,-0.55,-0.272%,"486,508,959,947",/market-activity/stocks/jnj
ABBV,AbbVie Inc. Common Stock,$226.08,-2.63,-1.15%,"399,570,317,603",/market-activity/stocks/abbv
UNH,UnitedHealth Group Incorporated Common Stock (DE),$330.91,-2.58,-0.774%,"299,751,057,744",/market-activity/stocks/unh
MRK,"Merck & Company, Inc. Common Stock (new)",$99.72,-1.17,-1.16%,"247,507,287,290",/market-activity/stocks/mrk
PM,Philip Morris International Inc Common Stock,$147.81,-0.77,-0.518%,"230,086,773,490",/market-activity/stocks/pm
ABT,Abbott Laboratories Common Stock,$125.08,-0.32,-0.255%,"217,498,103,131",/market-activity/stocks/abt
ISRG,"Intuitive Surgical, Inc. Common Stock",$575.34,6.71,1.18%,"203,955,770,640",/market-activity/stocks/isrg
AMGN,Amgen Inc. Common Stock,$329.89,-10.27,-3.019%,"177,639,388,556",/market-activity/stocks/amgn
GILD,"Gilead Sciences, Inc. Common Stock",$121.22,-1.40,-1.142%,"150,395,183,900",/market-activity/stocks/gild
PFE,"Pfizer, Inc. Common Stock",$26.03,0.33,1.284%,"147,998,967,579",/market-activity/stocks/pfe
BSX,Boston Scientific Corporation Common Stock,$97.52,-0.20,-0.205%,"144,567,747,643",/market-activity/stocks/bsx
SYK,Stryker Corporation Common Stock,$364.02,-0.33,-0.091%,"139,209,856,345",/market-activity/stocks/syk
MDT,Medtronic plc. Ordinary Shares,$101.36,-0.63,-0.618%,"129,944,960,123",/market-activity/stocks/mdt
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$455.48,-1.88,-0.411%,"115,563,853,144",/market-activity/stocks/vrtx
HCA,"HCA Healthcare, Inc. Common Stock",$486.70,-0.96,-0.197%,"111,061,971,130",/market-activity/stocks/hca
BMY,Bristol-Myers Squibb Company Common Stock,$52.15,0.20,0.385%,"106,164,520,358",/market-activity/stocks/bmy
MCK,McKesson Corporation Common Stock,$808.62,-5.56,-0.683%,"99,805,257,723",/market-activity/stocks/mck
